TITLE,MODEL,DESCRIPTION,CONDITION,AVAILABILITY_STATUS,PRICE_LIST,PRICE
Karcher - Aspirator uscat T 11/1 Classic HEPA,1.527-199.0,cod comanda: 1.527-199.0,Nou,La comanda,1005.0,"860,00"
Karcher - Aspirator uscat T10/1,1.527-150.0,"In cazul acestui aparat este vorba despre un aspirator uscat foarte robust, functional si performant, pentru utilizatori profesionisti cu insusiri ergonomice, avand un design compact si fiind conceput pentru nevoile speciale ale hotelurilor, restaurantelor, firmelor ce ofera servicii de curatare a cladirilor si magazinelor.,cod comanda: 1.527-150.0",Nou,In stoc ,1428.0,"880,00"
Karcher - ASPIRATOR HV 1/1 Bp Cs,1.394-261.0,"Optim pentru curățarea clădirilor: aspiratorul portabil ușor, puternic și versatil, alimentat cu acumulatori HV 1/1 Bp Cs. Dotat standard cu un kit de accesorii care conține duze de tapiţerie, podea şi rosturi.,cod comanda: ,1.394-260.0",Nou,la comanda ,1725.0,"1 430,00"
Karcher - Aspirator uscat T 15/1 HEPA,1.355-235.0,"Cu aspiratorul T 15/1, ne reinnoim programul existent al aspiratoarelor uscate si detinem acest segment de piata cu un model remarcabil din clasa de top.,cod comanda: 1.355-235.0",Nou,,2766.0,"2 260,00"
Karcher - ASPIRATOR USCAT - UMED NT 30/1 Tact Te L,1.148-211.0,"Karcher NT 30/1 Tact Te L,Preferatul mestesugarilor dintre aspiratoarele de tip umed-uscat: Karcher NT 30/1 ,Tact, cu priza ( pornire /oprire aurtomata) si sistem de curatare a filtrului ,Tact, pentru lucru continuu.,Tact-Functie automata de curatare a filtrului,Te- Priza pentru conectarea aparatelor electrice ( ex: aparate de slefuit),Nt- Aspirare umeda si uscata,L- protectia la clasa de praf L,cod:1.148-211.0",Nou,La comanda ,3660.0,"2 870,00"
Karcher - Aspirator uscat - umed NT 70/2,1.667-269.0,"Seria NT 70 oferă aspiratoare puternice cu până la 3 motoare. Cu puterea lor ridicată de aspirare, acestea sunt eficiente atât la aspirarea lichidelor, cât și la murdăria grosieră.,Varianta Nt 70/2 vine cu 2 motoare,cod comanda: 1.667-269.0",Nou,La comanda,4270.0,"3 450,00"
Karcher - Drujba electrica CS 400/36 Bp pack,1.042-505.0,"Fierăstrăul nostru cu lanț CS 400/36 Bp Pack alimentat cu acumulatori se potrivește ergonomic în mâna ta, cu vibrații minime și absolut fără gaze de eșapament și se mândrește cu performanțe remarcabile în ceea ce privește cerințele unei utilizării zilnice.,cod comanda: 1.042-505.0",Nou,La comanda,4440.0,"3 925,00"
Karcher - Dozator de apa WPD 50,1.024-404.0,"Apa potabila in calitatea produselor alimentare, Dozatoarele de apa Kärcher sunt dotate cu un sistem automat certificat de igiena si un sistem de filtrare inovator. Servicii de apa potabila sanatoasa, perfecte si la preturi convenabile pentru clientii si personalul dumneavoastra.,cod comanda: ,1.024-404.0",Nou,La comanda,5848.0,"4 631,00"
Karcher - APARAT DE CURATAT CU INALTA PRESIUNE HD 5/17 CX Plus,1.520-942.0,"Practic, mobil, versatil — Aparat de curăţat cu înaltă presiune, cu apă rece HD 5/17 CX Plus pentru funcţionare în poziție verticală şi orizontală. Cu spații de depozitare a accesoriilor, chiulasă din alamă și reducere automată a presiunii.,cod comanda: 1.520-942.0",Nou,La comanda,7250.0,"5 290,00"
Karcher - Aparat de curatat cu inalta presiune HD 7/16-4M Plus,1.524-957.0,cod comanda: 1.524-957.0,Nou,La comanda,7468.0,"5 890,00"
Karcher - Aparat de curatat cu inalta presiune HD 7/17 M Cage *EU-I,1.151-960.0 ,cod comanda: 1.151-960.0,Nou,La comanda,8580.0,"7 000,00"
Karcher - Masina de tuns iarba LM 530/36 Bp Pack,1.042-501.0,"Robustă, fiabilă și oferind rezultate de top în ceea ce privește îngrijirea gazonului: mașina de tuns iarba LM 530/36 Bp Pack alimentată cu acumulatori, cu punte din oțel pentru tuns iarba. Deosebit de flexibilă, cu zgomot redus și zero emisii.,cod comanda: 1.042-501.0",Nou,La comanda,11666.0,"8 020,00"
Karcher - Masina de maturat KM 70/30 C Bp Pack Adv,1.517-213.0,"Maturator prin impingere ce curata la fel de bine pe ambele parti si ofera un control foarte bun in linie dreapta. Perii universali rezistenti la umezeala pentru taote tipurile de suprafete. Filtru fleece pentru praf fin, cadru robust din plastic, perie rola usor reglabila si perie laterala .,cod comanda: 1.517-213.0",Nou,La comanda,11500.0,"9 400,00"
Karcher - Aspirator cu spalare Puzzi 30/4,1.101-120.0,"Aparatul de curatat cu spray-extractie Puzzi 30/4 este cea mai economica solutie de curatare pentru covoare cu o suprafata mare si transforma procesul de curatenie in unul ergonomic, lipsit de stres si rapid.,Pentru a curata o suprafata mai mare va recomandam sa achizitionati separat:,Peria suplimentara PW 30/1,click aici pentru a vizualiza peria,Cod de comanda:1.101-120.0",Nou,la comanda ,13900.0,"11 500,00"
Karcher - Masina de lustruit  BDP 50/1500 C,1.291-141.0,"Aparat de lustruit cu viteza foarte mare, are o productivitate cu pana la 30% mai mare decat un aparat obisnuit atunci cand poliseaza pardoseli delicate si lucioase.,cod comanda: 1.291-141.0",Nou,La comanda,20900.0,"14 400,00"
Karcher - Masina de maturat - aspirat KM 85/50 W Bp Pack Adv,1.351-115.0,"Masina de maturat condusa manual, confortabila pentru suprafete medii de la 900 la 6000 mp cu suprafata mare a filtrului si recipient mare pentru murdarie.,cod comanda: ,1.351-115.0",Nou,La comanda,0.0,
Karcher - Aparat de curatat cu inalta presiune HDS 1000 BE *EU,1.811-942.0,"Independent de o sursa externa de alimentare:,Aparatul de curatat cu apa calda sub presiune HDS 1000 Be ,cu motor pe benzina, Honda si pornire electrica.,Conceput pentru utilizare intensa si pentru incarcare cu ajutorul macaralei.,cod comanda: 1.811-942.0",Nou,LA COMANDA -LIVRARE IN 7 ZILE,0.0,
Karcher - Masina de maturat - aspirat KM 90/60 R G Adv,1.047-300.0,"Robusta, compacta, manevrabila si lipsita de emisii, masina de maturat cu post de conducere KM 90/60 R G Adv cu sistem de curatare a filtrului Tact , set Home Base, starter automat, concept Easy Operation si zona practica de preluare.,Cod de comanda:1.047-300.0",Nou,,0.0,
Karcher - MASINA DE MATURAT - ASPIRAT KM 100/100 R LPG,1.280-107.0,"DESCRIERE TEHNICA: Actionare: - Motor Honda de 6,7 kW - Pedala pentru rulare in fata si in spate - Cerc de viraj mic ( 3350 mm)- Frana pentru blocare automata cu vacuum - oprire automata a motorului in momentul in care postul de conducere este parasit , Sistem de maturare / aspirare: Aparatul functioneaza dupa principiul aruncarii in spate ceea ce inseamna ca murdaria este transportata de catre rola in spate in recipientul pentru mizerie. Peria rola suspendata se adapteaza automat denivelarilor de pe podele. Atat filtrul cat si rola principala de stergere pot fi schimbate simplu fara a fi necesare scule suplimentare. , Clapeta incorporata pentru murdarie grosiera incorporata permite curatarea murdariei mari de tipul dozelor, aschii, pietris sau frunzis umed. Peria laterala si rola principala sunt actionate hidraulic. Optional este disponibila o a doua perie laterala., Recipientul pentru mizerie: Cei doua containere pentru murdarie a cate 50 litri pot fi scosi pe lateral. Manuire: Printr-un intrerupator se lasa in jos peria laterala si rola principala. Deplasare in fata si in spate este controlata printr-o singura pedala.",Nou,,56194.0,
Karcher - Aparate stationare de curatare cu presiune HDC Standard,1.509-500.2,"Solutia perfecta pentru curatarea performanta regulata sau frecventa in diverse sectoare de activitate. Pentru utilizarea simultana a 2 - 8 puncte de bransament.,cod comanda: 1.509-500.2",Nou,,0.0,
